ID,Agglomeration_ID,Name,Country,continent,iso2,iso3,lat,lng,population,Cx,Cy,NBuildings,TotalFootprint,MeanBuildingArea,MedianBuildingArea,VarBuildingArea,MeanDistanceBuildings,WMeanDistanceBuildings,MaxBuildingsDistance,MeanDistanceBuildingsY,WMeanDistanceBuildingsY,MaxBuildingsDistanceY,MeanDistanceBuildingsG,WMeanDistanceBuildingsG,MaxBuildingsDistanceG,Elongation,Sprawl,CentreLon,CentreLat,CentreDensity,NBuildingsCentre1km,TotalFootprintCentre1km,NBuildingsCentre3km,TotalFootprintCentre3km,MeanArea0100m,MeanArea0250m,MeanArea0500m,MeanArea0750m,MeanArea1000m,MeanArea1500m,MeanArea2000m,MeanArea2500m,MeanArea3000m,MeanArea4000m,FootpLargeBuildings050m,FootpLargeBuildings100m,FootpLargeBuildings200m,HullArea,MeanRemoteness,waterTariff15 m3,waterTariff50 m3,waterTariff100 m3,UrbWaterSafelyManaged,UrbWaterPremises,UrbWaterFreeContamination,UrbWaterPiped,UrbLimitedWater(more than 30m),UrbanUnimprovedSanitation,UrbPopwith Water Premises,UrbPopWithPipedWater,MeanCritInf
BGD9000013,NA,Dhaka,Bangladesh,Asia,BD,BGD,23.7639,90.3889,18627000,90.425371,23.731382,1089222,119796403.1,109.983459,69.0828,49701.50666,13.56326203,12.99052978,42.91654334,13.52492459,13.04161497,42.77856232,13.55016479,13.15577579,42.79834914,0.003474944,0.000539066,90.44220819,23.6941094,6758258308,16837,1708708.167,89415,10068706.7,97.78115077,89.29607077,94.38938713,96.65297403,101.4853101,110.3326509,114.1996256,114.7260538,112.6064608,111.8265176,0.901390445,0.720812835,0.415133187,609.7842117,1.763286647,2.64,8.79,17.58,54.18856171,84.68801625,54.18856171,32.90671042,1.741627986,9.911058027,15774836.79,6129532.95,0.184878614
IDN9000002,NA,Jakarta,Indonesia,Asia,ID,IDN,-6.175,106.8275,33756000,106.827309,-6.175739,6655680,744491962,111.8581365,73.4446,104452.8139,24.47507155,24.97991703,77.34891662,24.78937589,25.28544273,76.65165255,24.46506876,24.69251106,76.86681647,0.002512287,0.000390682,106.7064703,-6.082203377,8830817117,4456,1759677.442,41610,7052710.069,522.617336,520.3369671,507.9396357,434.5680019,394.9006827,246.2713801,195.8184027,177.2405609,169.4955556,166.8601217,0.91397534,0.704795628,0.400257619,1956.649392,3.172531245,8.48,29.22,59.47,34.63023626,74.48418627,34.63023626,29.55915969,0.613185784,0.442411116,25142881.92,9977989.945,0.234720399
IDN9000042,NA,Surabaya,Indonesia,Asia,ID,IDN,-7.2458,112.7378,6499000,112.738052,-7.243775,1826807,172966676.3,94.68251234,57.0388,138140.4639,11.88357152,12.38343697,45.28311052,11.96813867,12.77170125,46.233234,12.01612012,12.30657772,45.94998048,0.003051406,0.00032639,112.6646061,-7.262401725,8048284834,19449,1857902.028,84165,9272275.665,100.434321,101.2544686,98.16005841,92.14394264,95.52686657,95.96590436,103.1269881,106.4755684,110.167833,122.097607,0.870066416,0.630660368,0.372549825,501.4638912,4.143251597,1.93,11,24.75,34.63023626,74.48418627,34.63023626,29.55915969,0.613185784,0.442411116,4840727.266,1921049.788,0.245974622
IDN9000071,NA,Medan,Indonesia,Asia,ID,IDN,3.5894,98.6739,3632000,98.679187,3.591613,1216809,166756637.8,137.044218,92.7205,98292.20144,13.86104995,13.62609454,45.65905219,13.76406787,13.29321598,45.67778052,13.82576225,13.51060625,45.54041945,0.003133504,0.000448522,98.70856975,3.579412444,8724347043,15758,2028721.587,117320,15261387.04,163.0743372,144.5487804,132.7852494,129.8230686,128.7423268,128.5651576,128.2254789,129.5731959,130.0834218,134.2272482,0.940394534,0.813165204,0.509382867,616.0330381,5.445013043,1.67,5.49,10.95,34.63023626,74.48418627,34.63023626,29.55915969,0.613185784,0.442411116,2705265.645,1073588.68,0.099237124
IDN9000135,NA,Denpasar,Indonesia,Asia,ID,IDN,-8.65,115.2167,1779122,115.233856,-8.673105,847258,71655236.76,84.57310141,56.9197,19121.84946,10.4156564,9.656446175,37.78842614,10.40931672,9.720973147,38.27831741,10.33356062,9.539520166,38.309057,0.003956214,0.000466821,115.1969015,-8.6613218,7789289847,18838,1835499.806,139020,13240499.31,100.8953114,120.7861423,108.3723145,100.2031431,97.43602324,92.31365217,90.22479739,94.12807517,95.24168689,93.49647755,0.858998847,0.614629085,0.297093659,293.9749675,5.332953913,NA,NA,NA,34.63023626,74.48418627,34.63023626,29.55915969,0.613185784,0.442411116,1325164.544,525893.5131,0.110264589
IDN9000150,NA,Semarang,Indonesia,Asia,ID,IDN,-6.9667,110.4167,1621384,110.42328,-6.989227,686620,69122295.49,100.6703788,65.4394,85533.05495,7.462850831,7.880474633,26.7427357,7.394972554,7.869321326,26.80625093,7.448034289,7.952980874,26.6742001,0.002850636,0.00034479,110.4270697,-6.976619915,7563485277,16427,1776981.228,128423,12566827.67,113.07575,107.219977,92.88447953,98.90135054,108.1744219,103.8754406,104.5059736,100.0967633,97.85496112,99.85272275,0.89157506,0.66157562,0.362631955,202.6013095,4.694333018,NA,NA,NA,34.63023626,74.48418627,34.63023626,29.55915969,0.613185784,0.442411116,1207674.679,479267.4857,0.380034538
IDN9000157,NA,Palembang,Indonesia,Asia,ID,IDN,-2.9861,104.7556,1535952,104.760804,-2.987893,733297,70860243.18,96.63239203,68.9789,28114.27177,8.817473929,8.988143555,32.62661755,8.721536306,8.762171682,31.8003549,8.765066314,8.788255502,32.88459589,0.003434912,0.00038965,104.7839023,-2.930928771,7035755552,14985,1429005.096,86362,8546471.548,94.42364359,96.45199893,97.94179698,95.81607887,95.36236878,97.33976649,97.67836279,99.5577388,98.96101929,97.08735567,0.89552096,0.657221766,0.308614205,310.9633893,3.89690124,NA,NA,NA,34.63023626,74.48418627,34.63023626,29.55915969,0.613185784,0.442411116,1144041.349,454014.5044,0.104350861
IDN9000179,NA,Makassar,Indonesia,Asia,ID,IDN,-5.1619,119.4362,1338663,119.420656,-5.130501,539931,57982162.46,107.3880967,72.4939,51346.01021,7.567319233,7.546074609,24.30261737,7.542960618,7.549667057,24.31806224,7.578972105,7.591697297,24.28964028,0.002828465,0.000425935,119.4330422,-5.141206251,7746714070,16808,1671010.004,111623,12559588.75,80.68617536,85.29865364,90.85927399,97.21106537,99.41753949,107.1190135,108.4220623,110.1637353,112.5179287,111.0135373,0.907973905,0.698510354,0.37611067,211.1920483,5.815923775,2.5,8.46,27.59,34.63023626,74.48418627,34.63023626,29.55915969,0.613185784,0.442411116,997092.2424,395697.5339,0.118110374
IDN9000211,NA,Bandar Lampung,Indonesia,Asia,ID,IDN,-5.45,105.2667,1166761,105.280374,-5.443954,452294,42659732.22,94.31858973,66.64095,43247.72795,6.225886543,6.051086877,21.54515794,6.254747236,6.197107682,21.15962842,6.241724245,6.244510818,21.30203079,0.002923382,0.000379143,105.2534192,-5.411156525,6956161123,16697,1508771.268,108933,10229250.98,74.41693509,76.78580387,85.46383342,85.60162869,90.36181758,91.8116782,92.70677512,93.34412481,93.90406011,93.07223262,0.886004029,0.65125362,0.308858025,158.7182895,6.460217415,NA,NA,NA,34.63023626,74.48418627,34.63023626,29.55915969,0.613185784,0.442411116,869052.4366,344884.7472,0.064208884
IDN9000590,NA,Bandung,Indonesia,Asia,ID,IDN,-6.912,107.6097,8599000,107.602485,-6.914929,1995083,183424310.4,91.93818525,59.7582,89971.66707,13.86808372,13.65467283,44.42280537,13.78034848,13.54425042,44.36785516,14.00870331,13.69191673,44.44093042,0.002906849,0.000440006,107.5612066,-6.927784496,8191229708,18273,1902266.066,140374,13771986.32,146.9939296,147.9484126,135.5711326,110.5441998,104.1025593,98.27025678,97.80539242,98.27073964,98.10923903,97.06666263,0.870626293,0.616525355,0.333408987,619.2335733,2.609364463,2.45,12.32,31.57,34.63023626,74.48418627,34.63023626,29.55915969,0.613185784,0.442411116,6404895.177,2541792.142,0.131286275
